timestamp,exch_b_1,size_b_1,bid_1,ask_1,size_a_1,exch_a_1,exch_b_2,size_b_2,bid_2,ask_2,size_a_2,exch_a_2,exch_b_3,size_b_3,bid_3,ask_3,size_a_3,exch_a_3,exch_b_4,size_b_4,bid_4,ask_4,size_a_4,exch_a_4,exch_b_5,size_b_5,bid_5,ask_5,size_a_5,exch_a_5,exch_b_6,size_b_6,bid_6,ask_6,size_a_6,exch_a_6,exch_b_7,size_b_7,bid_7,ask_7,size_a_7,exch_a_7,exch_b_8,size_b_8,bid_8,ask_8,size_a_8,exch_a_8
2025-12-08 11:27:58,NOM,31,2.01,2.03,7.0,PCX,BATS,23,2.01,2.03,5,BOX,PCX,13,2.01,2.03,4,NOM,CBOE,12,2.01,2.03,4,BATS,BOX,10,2.01,2.04,11.0,CBOE,ISE,5,2.01,2.04,6.0,AMEX,AMEX,4.0,2.01,2.04,6.0,PHLX,PHLX,4,2.01,2.04,4.0,ISE
2025-12-08 11:28:16,NOM,27,2.01,2.03,4.0,PCX,BATS,23,2.01,2.03,4,NOM,PCX,16,2.01,2.03,4,BATS,CBOE,12,2.01,2.04,12,CBOE,BOX,10,2.01,2.04,7.0,PHLX,ISE,1,2.01,2.04,6.0,AMEX,PHLX,1.0,2.01,2.04,3.0,BOX,AMEX,4,2.0,2.06,2.0,ISE
2025-12-08 11:28:32,BATS,26,2.03,2.05,5.0,PCX,PCX,21,2.03,2.06,43,BOX,NOM,21,2.03,2.06,20,NOM,BOX,19,2.03,2.06,15,BATS,AMEX,17,2.03,2.06,6.0,PHLX,CBOE,8,2.03,2.06,5.0,CBOE,ISE,8.0,2.03,2.07,6.0,AMEX,PHLX,6,2.03,2.07,3.0,ISE
2025-12-08 11:28:48,PCX,15,2.04,2.06,16.0,PCX,NOM,4,2.04,2.06,11,NOM,BATS,4,2.04,2.06,7,CBOE,CBOE,11,2.03,2.06,5,ISE,BOX,7,2.03,2.06,2.0,PHLX,PHLX,6,2.03,2.07,13.0,BOX,AMEX,5.0,2.02,2.07,5.0,AMEX,ISE,3,2.02,2.07,5.0,BATS
2025-12-08 11:29:03,NOM,30,2.04,2.06,12.0,NOM,PCX,25,2.04,2.06,12,BATS,CBOE,20,2.04,2.06,9,PCX,BATS,19,2.04,2.06,5,BOX,ISE,9,2.04,2.07,6.0,PHLX,BOX,9,2.04,2.08,11.0,CBOE,PHLX,5.0,2.04,2.08,5.0,AMEX,AMEX,3,2.04,2.08,3.0,ISE
2025-12-08 11:29:18,PCX,6,2.05,2.07,46.0,BOX,BATS,4,2.05,2.07,26,BATS,NOM,31,2.04,2.07,25,PCX,CBOE,11,2.04,2.07,21,NOM,BOX,10,2.04,2.07,16.0,AMEX,PHLX,6,2.03,2.07,13.0,CBOE,AMEX,5.0,2.03,2.07,7.0,ISE,ISE,2,2.03,2.07,5.0,PHLX
2025-12-08 11:29:33,PCX,22,2.05,2.07,14.0,BATS,NOM,9,2.05,2.07,12,PCX,BATS,9,2.05,2.07,10,NOM,AMEX,7,2.05,2.07,8,BOX,CBOE,5,2.05,2.08,5.0,PHLX,PHLX,5,2.05,2.08,2.0,ISE,BOX,3.0,2.05,2.09,21.0,CBOE,ISE,3,2.03,2.09,5.0,AMEX
2025-12-08 11:29:47,NOM,27,2.07,2.1,24.0,BOX,PCX,24,2.07,2.10,21,BATS,BATS,19,2.07,2.1,20,AMEX,AMEX,12,2.07,2.1,20,NOM,BOX,6,2.07,2.1,17.0,PCX,CBOE,9,2.06,2.1,5.0,CBOE,PHLX,5.0,2.06,2.12,6.0,PHLX,ISE,2,2.06,212.0,3.0,ISE
2025-12-08 11:30:03,BATS,15,2.07,2.09,41.0,BOX,PCX,11,2.07,2.09,27,NOM,NOM,6,2.07,2.09,23,PCX,BOX,36,2.06,2.09,19,BATS,CBOE,15,2.06,2.09,3.0,PHLX,AMEX,7,2.06,2.09,2.0,AMEX,ISE,5.0,2.06,2.1,11.0,CBOE,PHLX,6,2.05,2.1,3.0,ISE
2025-12-08 11:30:19,PCX,12,2.07,2.08,5.0,ISE,BATS,2,2.07,2.09,36,BOX,NOM,31,2.06,2.09,33,NOM,BOX,10,2.06,2.09,26,BATS,PHLX,7,2.05,2.09,25.0,PCX,CBOE,33,2.04,2.09,18.0,CBOE,AMEX,5.0,2.04,2.09,5.0,AMEX,ISE,3,2.04,2.09,5.0,PHLX
2025-12-08 11:30:34,PCX,10,2.08,2.09,5.0,BATS,BATS,21,2.07,2.10,42,BOX,NOM,17,2.07,2.1,26,NOM,ISE,9,2.07,2.1,24,AMEX,CBOE,7,2.07,2.1,20.0,PCX,BOX,7,2.07,2.1,8.0,CBOE,PHLX,9.0,2.06,2.1,8.0,PHLX,AMEX,5,2.05,2.11,2.0,ISE
2025-12-08 11:30:52,NOM,13,2.09,2.1,10.0,PCX,PCX,7,2.09,2.10,4,BATS,BATS,2,2.09,2.11,45,BOX,BOX,20,2.08,2.11,19,NOM,PHLX,6,2.08,2.11,6.0,PHLX,AMEX,5,2.08,2.13,24.0,CBOE,ISE,2.0,2.08,2.13,5.0,AMEX,CBOE,9,2.07,2.13,3.0,ISE
2025-12-08 11:31:07,PCX,17,2.1,2.12,33.0,NOM,CBOE,15,2.10,2.12,11,PCX,BATS,14,2.1,2.12,9,BOX,AMEX,10,2.1,2.12,4,BATS,PHLX,7,2.1,2.13,6.0,AMEX,ISE,6,2.1,2.13,6.0,CBOE,NOM,5.0,2.1,2.13,2.0,ISE,BOX,2,2.1,2.14,5.0,PHLX
2025-12-08 11:31:25,BOX,36,2.09,2.12,23.0,PCX,PCX,20,2.09,2.12,16,BATS,NOM,19,2.09,2.12,13,CBOE,BATS,19,2.09,2.12,10,NOM,CBOE,15,2.09,2.12,8.0,BOX,AMEX,12,2.09,2.12,5.0,ISE,ISE,5.0,2.09,2.13,11.0,AMEX,PHLX,6,2.07,213.0,11.0,PHLX
2025-12-08 11:31:41,PCX,4,2.07,2.08,5.0,NOM,BATS,4,2.07,2.08,2,PCX,BOX,12,2.06,2.08,2,BATS,AMEX,6,2.06,2.08,1,ISE,PHLX,6,2.06,2.09,13.0,CBOE,NOM,4,2.06,2.09,10.0,BOX,ISE,2.0,2.04,2.09,2.0,AMEX,CBOE,5,2.03,2.1,5.0,PHLX
2025-12-08 11:31:57,BATS,6,2.06,2.08,14.0,NOM,BOX NOM,5 4,2.06 2.06,2.08 2.08,9 5,PCX ISE,CBOE,11,2.05,2.08,6,BATS,PHLX,6,2.05,2.09,18,CBOE,AMEX,5,2.04,2.09,6.0,AMEX,ISE,3,2.04,2.09,1.0,PHLX,,,,,,,,,,,,
2025-12-08 11:32:13,PCX,25,2.05,2.07,20.0,NOM,BATS,19,2.05,2.07,16,BATS,BOX,12,2.05,2.07,12,PCX,NOM,6,2.05,2.07,6,ISE,ISE,5,2.05,2.07,6.0,BOX,CBOE,9,2.04,2.07,2.0,AMEX,AMEX,5.0,2.04,2.08,6.0,PHLX,PHLX,5,2.04,2.09,20.0,CBOE
2025-12-08 11:32:30,BATS,19,2.03,2.04,2.0,PCX,NOM,14,2.03,2.05,9,BATS,AMEX,12,2.03,2.05,a,NOM,BOX,9,2.03,2.05,1,BOX,CBOE,8,2.03,2.06,5.0,CBOE,ISE,5,2.03,2.06,5.0,ISE,PCX,20.0,2.02,2.07,6.0,PHLX,PHLX,5,2.02,2.07,5.0,AMEX
2025-12-08 11:32:46,BATS,26,2.04,2.06,14.0,BATS,PCX,21,2.04,2.06,11,PCX,NOM,21,2.04,2.06,2,AMEX,AMEX,13,2.04,2.07,40,BOX,ISE,6,2.04,2.07,14.0,NOM,BOX,3,2.04,2.07,10.0,CBOE,PHLX,1.0,2.04,2.07,7.0,PHLX,CBOE,4,2.03,2.07,4.0,ISE
2025-12-08 11:33:02,PCX,19,2.06,2.09,23.0,CBOE,BATS,9,2.06,2.09,20,PCX,BOX,8,2.06,2.09,9,PHLX,NOM,5,2.06,2.09,6,ISE,AMEX,2,2.06,2.09,6.0,NOM,ISE,2,2.06,2.09,3.0,BOX,PHLX,5.0,2.05,2.09,3.0,BATS,CBOE,4,2.05,211.0,6.0,AMEX
2025-12-08 11:33:20,PCX,19,2.04,2.06,10.0,BOX,NOM,19,2.04,2.06,7,PCX,BATS,12,2.04,2.06,6,BATS,BOX,8,2.04,2.07,31,NOM,PHLX,7,2.04,2.07,7.0,PHLX,ISE,6,2.04,2.08,24.0,CBOE,CBOE,5.0,2.04,2.08,5.0,AMEX,AMEX,3,2.04,2.08,3.0,ISE
2025-12-08 11:33:38,NOM,28,2.03,2.06,49.0,BOX,PCX,22,2.03,2.06,35,NOM,BATS,17,2.03,2.06,26,CBOE,BOX,16,2.03,2.06,27,BATS,AMEX,9,2.03,2.06,25.0,PCX,CBOE,9,2.03,2.06,18.0,AMEX,PHLX,6.0,2.03,2.06,6.0,PHLX,ISE,5,2.03,2.06,5.0,ISE
2025-12-08 11:33:54,NOM,24,2.03,2.05,3.0,PCX,PCX,22,2.03,2.05,2,NOM,BATS,9,2.03,2.05,2,BATS,ISE,5,2.03,2.06,41,BOX,BOX,5,2.03,2.06,14.0,CBOE,AMEX,2,2.03,2.06,10.0,AMEX,CBOE,14.0,2.02,2.06,1.0,PHLX,PHLX,7,2.01,2.07,2.0,ISE
2025-12-08 11:34:12,PCX,15,2.04,2.06,33.0,BOX,BOX,9,2.04,2.06,18,PCX,ISE,6,2.04,2.06,16,NOM,NOM,4,2.04,2.06,15,BATS,BATS,4,2.04,2.06,9.0,ISE,AMEX,2,2.04,2.07,9.0,CBOE,CBOE,9.0,2.03,2.08,7.0,PHLX,PHLX,6,2.03,2.08,5.0,AMEX
2025-12-08 11:34:29,PCX,15,2.03,2.05,33.0,BOX,NOM,14,2.03,2.05,29,NOM,BATS,9,2.03,2.05,20,AMEX,ISE,5,2.03,2.05,16,PCX,BOX,5,2.03,2.05,15.0,CBOE,AMEX,7,2.02,2.05,15.0,BATS,PHLX,5.0,2.02,2.05,10.0,ISE,CBOE,9,2.01,2.06,6.0,PHLX
2025-12-08 11:34:45,NOM,1,2.06,2.07,40.0,BOX,PCX,14,2.05,2.07,20,PCX,BATS,5,2.05,2.07,19,NOM,BOX,61,2.04,2.07,19,BATS,PHLX,12,2.04,2.08,11.0,CBOE,AMEX,5,2.04,2.08,6.0,PHLX,CBOE,5.0,2.04,2.09,5.0,AMEX,ISE,2,2.04,2.09,3.0,ISE
2025-12-08 11:35:00,NOM,34,2.06,2.09,43.0,BOX,PCX,20,2.06,2.09,35,NOM,BATS,20,2.06,2.09,29,PCX,BOX,7,2.06,2.09,24,CBOE,AMEX,6,2.06,2.09,24.0,BATS,ISE,5,2.06,2.09,18.0,AMEX,PHLX,6.0,2.05,2.09,7.0,ISE,CBOE,5,2.05,2.09,5.0,PHLX
2025-12-08 11:35:18,PCX,20,2.08,2.1,1.0,NOM,BATS,19,2.08,2.11,31,BOX,NOM,14,2.08,2.11,24,BATS,BOX,11,2.08,2.11,19,PCX,CBOE,9,2.07,2.12,25.0,CBOE,PHLX,6,2.07,2.12,8.0,PHLX,AMEX,5.0,2.07,2.12,6.0,AMEX,ISE,2,2.07,2.12,3.0,ISE
2025-12-08 11:35:33,NOM,19,2.06,2.08,26.0,PCX,BATS,14,2.06,2.08,24,BATS,PCX,1,2.06,2.08,15,NOM,BOX,20,2.05,2.08,6,BOX,CBOE,6,2.05,2.08,5.0,ISE,PHLX,6,2.05,2.08,3.0,AMEX,AMEX,5.0,2.04,2.09,9.0,CBOE,ISE,2,2.04,2.09,6.0,PHLX
2025-12-08 11:35:52,NOM,19,2.04,2.06,4.0,BATS,PCX,15,2.04,2.07,19,PCX,BOX,6,2.04,2.07,9,BOX,ISE,4,2.04,2.07,7,CBOE,BATS,4,2.04,2.07,6.0,NOM,CBOE,11,2.03,2.07,5.0,AMEX,PHLX,7.0,2.03,2.07,2.0,ISE,AMEX,6,2.03,2.08,6.0,PHLX
2025-12-08 11:36:09,NOM,15,2.04,2.05,2.0,PCX,BATS,12,2.04,2.06,30,NOM,PCX,11,2.04,2.06,19,BATS,ISE,6,2.04,2.07,46,BOX,BOX,5,2.04,2.07,9.0,CBOE,PHLX,7,2.03,2.07,6.0,PHLX,CBOE,11.0,2.02,2.07,5.0,AMEX,AMEX,5,2.02,2.07,2.0,ISE
2025-12-08 11:36:25,PCX,4,2.05,2.06,10.0,PCX,NOM,25,2.04,2.06,4,BATS,BATS,12,2.04,2.07,36,NOM,AMEX,6,2.04,2.07,28,BOX,PHLX,6,2.04,2.08,16.0,CBOE,BOX,3,2.04,2.08,5.0,PHLX,CBOE,10.0,2.03,2.08,4.0,AMEX,ISE,2,2.03,2.08,1.0,ISE
2025-12-08 11:36:42,NOM,25,2.07,2.09,15.0,PCX,PCX,16,2.07,2.09,11,NOM,BOX,9,2.07,2.09,4,BATS,BATS,4,2.07,2.1,49,BOX,AMEX,2,2.07,2.11,10.0,AMEX,CBOE,19,2.06,2.11,8.0,CBOE,ISE,2.0,2.06,2.11,5.0,PHLX,PHLX,,2.05,2.11,1.0,ISE
2025-12-08 11:36:58,NOM,35,2.05,2.07,3.0,BATS,CBOE,31,2.05,2.07,1,PCX,PCX,22,2.05,2.08,47,BOX,BATS,21,2.05,2.08,35,NOM,AMEX,13,2.05,2.08,12.0,CBOE,PHLX,9,2.05,2.08,6.0,AMEX,ISE,5.0,2.05,2.08,1.0,PHLX,BOX,3,2.05,2.09,1.0,ISE
2025-12-08 11:37:16,PCX,11,2.08,2.09,4.0,PCX,BOX,50,2.07,2.09,4,BATS,NOM,26,2.07,2.1,43,BOX,BATS,26,2.07,2.1,9,CBOE,CBOE,19,2.07,2.1,6.0,PHLX,AMEX,17,2.07,2.1,5.0,NOM,ISE,7.0,2.07,2.1,1.0,AMEX,PHLX,B,2.06,2.11,1.0,ISE
2025-12-08 11:37:32,PCX,20,2.08,2.1,14.0,PCX,NOM,19,2.08,2.10,9,BATS,BATS,19,2.08,2.1,6,NOM,ISE,5,2.08,2.11,49,BOX,PHLX,1,2.08,2.11,6.0,AMEX,BOX,60,2.07,2.12,8.0,CBOE,CBOE,19.0,2.07,2.12,4.0,PHLX,AMEX,7,2.06,2.12,1.0,ISE
2025-12-08 11:37:48,BOX,29,2.1,2.11,2.0,PCX,BATS,19,2.10,2.12,19.0,NOM,PCX,18,2.1,2.12,14.0,SATS,NOM,11,2.1,2.12,9.0,BOX,PHLX,6,2.09,2.13,1.0,ISE,CBOE,22,2.08,2.14,20.0,CBOE,AMEX,7.0,2.08,2.14,5.0,PHLX,ISE,2,2.08,2.14,4.0,AMEX
2025-12-08 11:38:04,BATS,13,2.11,2.13,19.0,BATS,PCX,5,2.11,2.13,17,PCX,NOM,1,2.11,2.13,10,CBOE,AMEX,6,2.1,2.13,9,ISE,PHLX,6,2.1,2.13,9.0,NOM,BOX,6,2.09,2.13,6.0,BOX,CBOE,26.0,1.96,2.13,2.0,AMEX,ISE,1,1.94,2.14,7.0,PHLX
2025-12-08 11:38:20,PCX,17,2.1,2.12,20.0,PCX,BATS,14,2.10,2.12,20,NOM,ISE,5,2.1,2.12,19,BATS,NOM,4,2.1,2.12,9,BOX,BOX,4,2.1,2.12,2.0,AMEX,PHLX,19,2.09,2.13,5.0,CBOE,AMEX,16.0,2.09,2.14,5.0,PHLX,CBOE,6,2.09,2.14,,ISE
2025-12-08 11:38:34,PCX,27,2.11,2.13,6.0,PCX,BATS,24,2.11,2.13,4.0,BATS,NOM,16,2.11,2.13,1.0,NOM,AMEX,15,2.11,2.14,44.0,BOX,BOX,9,2.11,2.14,11.0,CBOE,PHLX,6,2.11,2.14,6.0,AMEX,ISE,5.0,2.11,2.14,4.0,ISE,CBOE,7,2.1,2.16,6.0,PHLX
2025-12-08 11:38:50,BOX,46,2.09,2.11,79.0,NOM,BATS,29,2.09,2.11,15,PCX,PCX,27,2.09,2.11,10,BATS,NOM,14,2.09,2.12,14,BOX,CBOE,10,2.09,2.12,6.0,AMEX,AMEX,6,2.09,2.12,5.0,CBOE,ISE,5.0,2.09,2.13,18.0,PHLX,PHLX,7,2.08,2.13,1.0,ISE
2025-12-08 11:39:05,PCX,11,2.1,2.12,22.0,PCX,NOM,6,2.10,2.12,22,BATS,BOX,6,2.1,2.12,20,NOM,BATS,6,2.1,2.12,14,CBOE,ISE,5,2.1,2.12,6.0,BOX,CBOE,10,2.09,2.12,4.0,ISE,AMEX,7.0,2.09,2.12,2.0,AMEX,PHLX,7,2.09,213.0,7.0,PHLX
2025-12-08 11:39:21,AMEX,14,2.12,2.14,26.0,PCX,ISE,5,2.12,2.14,22,BATS,BOX,69,2.11,2.14,21,NOM,PCX,27,2.11,2.14,14,BOX,BATS,26,2.11,2.14,1.0,CBOE,NOM,20,2.11,2.15,6.0,PHLX,CBOE,14.0,2.11,2.15,1.0,ISE,PHLX,12,2.11,2.16,10.0,AMEX
2025-12-08 11:39:38,PCX,27,2.1,2.12,15.0,PCX,BATS,16,2.10,2.12,9,BATS,NOM,14,2.1,2.12,1,NOM,ISE,5,2.1,2.13,29,BOX,BOX,61,2.09,2.13,5.0,CBOE,CBOE,10,2.09,2.13,1.0,AMEX,AMEX,7.0,2.09,2.14,6.0,PHLX,PHLX,7,2.09,2.14,1.0,ISE
2025-12-08 11:39:53,PCX,27,2.11,2.13,8.0,PCX,BATS,21,2.11,2.13,4,BATS,NOM,15,2.11,2.14,46,BOX,AMEX,12,2.11,2.14,20,NOM,BOX,10,2.11,2.14,11.0,CBOE,CBOE,9,2.11,2.14,6.0,PHLX,ISE,5.0,2.11,2.15,6.0,AMEX,PHLX,7,2.1,2.15,1.0,ISE
2025-12-08 11:40:07,NOM,15,2.11,2.13,34.0,NOM,PCX,13,2.11,2.13,23,BATS,BOX,12,2.11,2.13,22,PCX,BATS,9,2.11,2.13,6,BOX,CBOE,5,2.1,2.13,2.0,AMEX,AMEX,7,2.09,2.13,1.0,CBOE,PHLX,7.0,2.09,2.14,16.0,PHLX,ISE,3,2.08,2.14,1.0,ISE
2025-12-08 11:40:23,NOM,19,2.11,2.13,18.0,PCX,BATS,19,2.11,2.13,15,NOM,PCX,17,2.11,2.13,6,ISE,CBOE,14,2.11,2.13,2,BATS,BOX,10,2.11,2.14,53.0,BOX,ISE,5,2.11,2.14,8.0,CBOE,AMEX,2.0,2.11,2.14,4.0,AMEX,PHLX,9,2.09,214.0,4.0,PHLX
2025-12-08 11:40:39,BATS,5,2.12,2.13,2.0,PCX,BOX,50,2.11,2.14,54,BOX,PCX,20,2.11,2.14,39,AMEX,NOM,19,2.11,2.14,38,CBOE,CBOE,9,2.11,2.14,36.0,NOM,ISE,6,2.11,2.14,26.0,BATS,PHLX,5.0,2.11,2.14,9.0,PHLX,AMEX,7,2.09,2.14,1.0,ISE
2025-12-08 11:40:56,BOX,46,2.09,2.11,21.0,NOM,PCX,20,2.09,2.11,18,PCX,NOM,19,2.09,2.11,18,BATS,BATS,16,2.09,2.11,6,BOX,CBOE,10,2.09,2.11,2.0,AMEX,ISE,10,2.09,2.12,10.0,CBOE,AMEX,2.0,2.09,2.12,4.0,PHLX,PHLX,6,2.08,212.0,1.0,ISE
2025-12-08 11:41:15,PCX,5,2.13,2.14,7.0,BATS,BATS,29,2.12,2.14,5,NOM,NOM,16,2.12,2.14,1,PCX,PHLX,12,2.12,2.15,44,BOX,BOX,11,2.12,2.16,6.0,PHLX,AMEX,7,2.12,2.16,4.0,AMEX,CBOE,10.0,2.11,2.16,4.0,CBOE,ISE,2,2.11,2.16,1.0,ISE
2025-12-08 11:41:33,PCX,16,2.15,2.17,20.0,NOM,BOX,5,2.15,2.17,14,BATS,BATS,3,2.15,2.17,11,PCX,NOM,20,2.14,2.17,4,BOX,CBOE,10,2.14,2.18,8.0,CBOE,AMEX,6,2.14,2.18,1.0,ISE,PHLX,2.0,2.14,2.19,10.0,AMEX,ISE,3,2.13,2.19,6.0,PHLX
2025-12-08 11:41:50,BATS,9,2.13,2.15,23.0,BATS,BOX,5,2.13,2.15,21,NOM,PCX,4,2.13,2.15,17,PCX,NOM,4,2.13,2.15,B,CBOE,CBOE,6,2.12,2.16,62.0,BOX,PHLX,6,2.12,2.16,7.0,PHLX,AMEX,7.0,2.11,2.16,4.0,AMEX,ISE,3,2.11,216.0,1.0,ISE
2025-12-08 11:42:07,PCX,10,2.14,2.16,49.0,BOX,BATS,4,2.14,2.16,34,NOM,BOX,20,2.13,2.16,25,CBOE,NOM,19,2.13,2.16,22,PCX,CBOE,12,2.13,2.16,18.0,BATS,AMEX,6,2.13,2.16,12.0,PHLX,PHLX,6.0,2.13,2.16,10.0,AMEX,ISE,2,2.12,2.16,8.0,ISE
2025-12-08 11:42:24,PCX,5,2.16,2.18,46.0,BOX,BATS,5,2.16,2.18,36,NOM,NOM,31,2.15,2.18,25,AMEX,BOX,9,2.15,2.18,23,BATS,PHLX,a,2.15,2.18,17.0,PCX,CBOE,5,2.15,2.18,10.0,CBOE,AMEX,7.0,2.13,2.18,10.0,ISE,ISE,3,2.13,219.0,5.0,PHLX
2025-12-08 11:42:42,PCX,5,2.14,2.16,50.0,BOX,NOM,30,2.13,2.16,36,NOM,BATS,21,2.13,2.16,31,AMEX,CBOE,12,2.13,2.16,23,BATS,BOX,7,2.13,2.16,22.0,PCX,PHLX,3,2.13,2.16,10.0,CBOE,AMEX,16.0,2.12,2.16,5.0,ISE,ISE,3,2.12,217.0,5.0,PHLX
2025-12-08 11:42:59,PCX,17,2.12,2.14,31.0,NOM,NOM,15,2.12,2.14,19,PCX,BATS,14,2.12,2.14,14,BATS,BOX,9,2.12,2.14,6,BOX,AMEX,8,2.12,2.14,5.0,ISE,ISE,5,2.12,2.15,13.0,CBOE,PHLX,6.0,2.11,2.15,5.0,PHLX,CBOE,5,2.11,215.0,4.0,AMEX
2025-12-08 11:43:15,PCX,4,2.13,2.15,27.0,BOX,NOM,4,2.13,2.15,15,CBOE,BATS,4,2.13,2.15,15,NOM,AMEX,2,2.13,2.15,14,BATS,BOX,9,2.12,2.15,12.0,PCX,CBOE,12,2.11,2.15,6.0,ISE,PHLX,8.0,2.11,2.17,7.0,PHLX,ISE,2,2.11,217.0,4.0,AMEX
2025-12-08 11:43:31,NOM,19,2.09,2.11,20.0,PCX,BATS,19,2.09,2.11,4,BATS,PCX,17,2.09,2.11,1,NOM,BOX,12,2.09,2.12,18,BOX,AMEX,7,2.09,2.12,3.0,CBOE,ISE,5,2.09,2.12,1.0,ISE,PHLX,8.0,2.07,2.13,6.0,PHLX,CBOE,14,2.06,2.13,4.0,AMEX
2025-12-08 11:43:46,PCX,10,2.11,2.13,49.0,BOX,BOX,6,2.11,2.13,22,BATS,NOM,5,2.11,2.13,20,NOM,BATS,4,2.11,2.13,15,CBOE,PHLX,8,2.1,2.13,14.0,AMEX,AMEX,7,2.1,2.13,13.0,PCX,CBOE,7.0,2.1,2.14,9.0,PHLX,ISE,2,2.09,214.0,1.0,ISE
2025-12-08 11:44:01,BOX,43,2.1,2.12,16.0,NOM,PCX,23,2.10,2.12,14,PCX,NOM,20,2.1,2.12,4,BATS,BATS,19,2.1,2.12,3,BOX,PHLX,6,2.1,2.14,25.0,CBOE,ISE,5,2.1,2.14,7.0,PHLX,AMEX,1.0,2.1,2.14,4.0,AMEX,CBOE,,2.08,214.0,3.0,ISE
2025-12-08 11:44:19,BATS,29,2.09,2.11,26.0,NOM,PCX,21,2.09,2.11,16,BATS,NOM,20,2.09,2.11,8,PCX,ISE,5,2.09,2.12,6,PHLX,BOX,3,2.09,2.12,5.0,BOX,AMEX,27,2.08,2.13,10.0,CBOE,PHLX,21.0,2.08,2.13,4.0,AMEX,CBOE,19,2.08,2.13,3.0,ISE
2025-12-08 11:44:36,NOM,15,2.09,2.1,6.0,PCX,BATS,14,2.09,2.10,2,BATS,PCX,9,2.09,2.11,88,AMEX,BOX,51,2.08,2.11,30,BOX,AMEX,6,2.08,2.11,16.0,NOM,CBOE,6,2.08,211.0,5.0,CBOE,PHLX,6.0,2.08,2.12,1.0,ISE,ISE,2,2.07,2.13,7.0,PHLX
2025-12-08 11:44:52,BOX,7,2.1,2.12,44.0,BOX,PCX,4,2.10,2.12,37,NOM,NOM,4,2.1,2.12,29,AMEX,BATS,4,2.1,2.12,27,BATS,AMEX,2,2.1,2.12,25.0,CBOE,PHLX,7,2.09,2.12,22.0,PCX,CBOE,10.0,2.08,2.12,9.0,PHLX,ISE,2,2.08,2.12,6.0,ISE
2025-12-08 11:45:09,ISE,11,2.14,2.16,15.0,NOM,PCX,10,2.14,2.16,10,PCX,BOX,10,2.14,2.16,9,BATS,NOM,5,2.14,2.17,9,CBOE,BATS,4,2.14,2.17,9.0,BOX,AMEX,2,2.14,2.17,1.0,ISE,CBOE,12.0,2.13,2.18,10.0,AMEX,PHLX,7,2.13,2.18,6.0,PHLX
2025-12-08 11:45:27,NOM,32,2.15,2.17,10.0,ISE,PCX,17,2.15,2.17,9,BATS,BATS,16,2.15,2.17,8,NOM,BOX,11,2.15,2.17,7,PCX,ISE,5,2.15,2.18,32.0,BOX,AMEX,2,2.15,2.18,9.0,CBOE,PHLX,7.0,2.14,2.18,4.0,AMEX,CBOE,5,2.14,2.18,4.0,PHLX
